fiscal_year,ciaa_filed,ciaa_source,ngm_total,drift_total,ngm_excluded,ngm_ciaa_comparable,drift_comparable
2069/70,93,93 in 10 reports,126,33,26,100,7
2070/71,168,168 in 10,188,20,21,167,1
2071/72,303,303 in 11,319,16,9,310,7
2072/73,144,144 in 10,159,15,12,147,3
2073/74,154,154 in 8 (144 in 2),168,14,10,158,4
2074/75,194,194 in 10,197,3,4,193,1
2075/76,351,351 in 10,371,20,13,358,7
2076/77,441,441 in 8 (449 in 2),450,9,10,440,1
2077/78,113,113 in 8 (114 in 1),127,14,14,113,0
2078/79,131,131 in 8,135,4,3,132,1
2079/80,162,162 in 7,176,14,11,165,3
2080/81,201,201 in 5,211,10,9,202,1
2081/82,137,137 in 3,143,6,4,139,2
2082/83,,36th report unpublished,179,,8,171,
TOTAL,2592,,2770,178,,2624,38
PCT_OF_CIAA,,,,6.9%,,,1.5%
