side,match_rule,ciaa_serial,ciaa_decision_date_bs,ciaa_filing_date_bs,ngm_case_number,ngm_reg_date_bs,ngm_case_type
MATCH,exact,1,,२०७१।४।५,071-CR-0001,2071-04-05,नक्कली प्रमाण पत्र
MATCH,exact,2,,२०७१।४।१२,071-CR-0008,2071-04-12,नक्कली प्रमाण पत्र
MATCH,exact,3,,२०७१।४।१४,071-CR-0009,2071-04-14,नक्कली प्रमाण पत्र
MATCH,exact,4,,२०७१।४।१९,071-CR-0015,2071-04-19,नक्कली प्रमाण पत्र
MATCH,exact,5,,२०७१।४।२३,071-CR-0020,2071-04-23,नक्कली प्रमाण पत्र
MATCH,exact,6,,२०७१।४।३०,071-CR-0026,2071-04-30,नक्कली प्रमाण पत्र
MATCH,exact,7,,२०७१।४।३०,071-CR-0027,2071-04-30,नक्कली प्रमाण पत्र
MATCH,exact,8,,२०७१।५।५,071-CR-0033,2071-05-05,नक्कली प्रमाण पत्र
MATCH,exact,9,,२०७१।५।५,071-CR-0032,2071-05-05,नक्कली प्रमाण पत्र
MATCH,exact,10,,२०७१।५।६,071-CR-0035,2071-05-06,नक्कली प्रमाण पत्र
MATCH,exact,11,,२०७१।५।८,071-CR-0037,2071-05-08,नक्कली प्रमाण पत्र
MATCH,exact,12,,२०७१।५।८,071-CR-0036,2071-05-08,नक्कली प्रमाण पत्र
MATCH,exact,13,,२०७१।५।१०,071-CR-0039,2071-05-10,नक्कली प्रमाण पत्र
MATCH,exact,14,,२०७१।५।१०,071-CR-0040,2071-05-10,नक्कली प्रमाण पत्र
MATCH,exact,15,,२०७१।५।११,071-CR-0041,2071-05-11,नक्कली प्रमाण पत्र
MATCH,exact,16,,२०७१।५।१२,071-CR-0042,2071-05-12,नक्कली प्रमाण पत्र
MATCH,exact,17,,२०७१।५।१३,071-CR-0044,2071-05-13,नक्कली प्रमाण पत्र
MATCH,subset,18,,२०७१।५।१५,071-CR-0047,2071-05-15,नक्कली प्रमाण पत्र
MATCH,exact,19,,२०७१।५।१६,071-CR-0049,2071-05-16,नक्कली प्रमाण पत्र
MATCH,exact,20,,२०७१।५।१६,071-CR-0050,2071-05-18,नक्कली प्रमाण पत्र
MATCH,exact,21,,२०७१।५।१९,071-CR-0052,2071-05-19,नक्कली प्रमाण पत्र
MATCH,subset,22,,२०७१।५।२४,071-CR-0056,2071-05-24,नक्कली प्रमाण पत्र
MATCH,exact,23,,२०७१।५।२५,071-CR-0058,2071-05-25,नक्कली प्रमाण पत्र
MATCH,exact,24,,२०७१।५।२६,071-CR-0059,2071-05-26,नक्कली प्रमाण पत्र
MATCH,exact,25,,२०७१।५।२७,071-CR-0066,2071-05-27,नक्कली प्रमाण पत्र
MATCH,exact,26,,२०७१।५।३०,071-CR-0070,2071-05-30,नक्कली प्रमाण पत्र
MATCH,exact,27,,२०७१।६।१,071-CR-0072,2071-06-01,नक्कली प्रमाण पत्र
MATCH,exact,28,,२०७१।६।२,071-CR-0074,2071-06-02,नक्कली प्रमाण पत्र
MATCH,subset,29,,२०७१।६।२,071-CR-0077,2071-06-03,नक्कली प्रमाण पत्र
MATCH,exact,30,,२०७१।६।५,071-CR-0078,2071-06-05,नक्कली प्रमाण पत्र
MATCH,exact,31,,२०७१।६।६,071-CR-0081,2071-06-06,नक्कली प्रमाण पत्र
MATCH,exact,32,,२०७१।६।६,071-CR-0082,2071-06-06,नक्कली प्रमाण पत्र
MATCH,exact,33,,२०७१।६।७,071-CR-0086,2071-06-07,नक्कली प्रमाण पत्र
MATCH,exact,34,,२०७१।६।८,071-CR-0090,2071-06-08,नक्कली प्रमाण पत्र
MATCH,exact,35,,२०७१।६।२२,071-CR-0092,2071-06-22,नक्कली प्रमाण पत्र
MATCH,exact,36,,२०७१।६।२२,071-CR-0095,2071-06-23,नक्कली प्रमाण पत्र
MATCH,exact,37,,२०७१।६।२४,071-CR-0097,2071-06-24,नक्कली प्रमाण पत्र
MATCH,exact,38,,२०७१।६।२२,071-CR-0098,2071-06-26,नक्कली प्रमाण पत्र
MATCH,exact,39,,२०७१।६।२७,071-CR-0101,2071-06-27,नक्कली प्रमाण पत्र
MATCH,exact,40,,२०७१।६।२८,071-CR-0103,2071-06-28,नक्कली प्रमाण पत्र
MATCH,exact,41,,२०७१।६।२९,071-CR-0105,2071-06-29,नक्कली प्रमाण पत्र
MATCH,exact,42,,२०७१।६।३०,071-CR-0107,2071-06-30,नक्कली प्रमाण पत्र
MATCH,exact,43,,२०७१।६।३१,071-CR-0109,2071-06-31,नक्कली प्रमाण पत्र
MATCH,exact,44,,२०७१।७।२,071-CR-0110,2071-07-02,नक्कली प्रमाण पत्र
MATCH,exact,45,,२०७१।७।३,071-CR-0112,2071-07-03,नक्कली प्रमाण पत्र
MATCH,manual_verified,46,,२०७१।७।४,071-CR-0114,2071-07-04,नक्कली प्रमाण पत्र
MATCH,exact,47,,२०७१।७।५,071-CR-0117,2071-07-05,नक्कली प्रमाण पत्र
