case_number,registration_date_bs,fiscal_year,case_type,excluded_as
069-CR-0001,2069-04-03,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0002,2069-04-03,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0020,2069-05-25,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0025,2069-05-31,2069/70,अनियमित रुपमा वन कटान,other_agency
069-CR-0026,2069-05-31,2069/70,वनमासी,other_agency
069-CR-0027,2069-05-31,2069/70,वनमासी,other_agency
069-CR-0032,2069-06-14,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0034,2069-06-15,2069/70,निर्णय वदर,nirnaya_vadar
069-CR-0040,2069-06-22,2069/70,अनियमित रुपमा वन कटान,other_agency
069-CR-0045,2069-06-29,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0046,2069-07-17,2069/70,लागु औषध,other_agency
069-CR-0047,2069-07-17,2069/70,जिउ मास्ने वेच्ने,other_agency
069-CR-0053,2069-09-17,2069/70,वनमासी,other_agency
069-CR-0055,2069-09-20,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0056,2069-09-20,2069/70,निर्णय वदर,nirnaya_vadar
069-CR-0058,2069-10-12,2069/70,निर्णय वदर,nirnaya_vadar
069-CR-0071,2069-11-13,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0083,2069-12-19,2069/70,निर्णय वदर,nirnaya_vadar
069-CR-0088,2069-12-30,2069/70,निर्णय वदर,nirnaya_vadar
069-CR-0090,2070-01-02,2069/70,निर्णय वदर,nirnaya_vadar
069-CR-0098,2070-01-30,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0100,2070-02-05,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0101,2070-02-05,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0102,2070-02-05,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0103,2070-02-05,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
069-CR-0104,2070-02-05,2069/70,सम्पत्ति शुद्धीकरण,money_laundering
070-CR-0004,2070-04-08,2070/71,सम्पत्ति शुद्धीकरण,money_laundering
070-CR-0021,2070-05-16,2070/71,सम्पत्ति शुद्धीकरण,money_laundering
070-CR-0035,2070-06-08,2070/71,अनियमित रुपमा वन कटान,other_agency
070-CR-0038,2070-06-18,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0039,2070-07-03,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0040,2070-07-03,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0041,2070-07-03,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0048,2070-08-21,2070/71,सम्पत्ति शुद्धीकरण,money_laundering
070-CR-0055,2070-09-05,2070/71,अनियमित रुपमा वन कटान,other_agency
070-CR-0075,2070-09-28,2070/71,सम्पत्ति शुद्धीकरण,money_laundering
070-CR-0078,2070-10-10,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0085,2070-10-22,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0086,2070-10-22,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0089,2070-10-27,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0095,2070-11-12,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0097,2070-11-19,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0110,2070-12-17,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0115,2070-12-27,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0158,2071-02-19,2070/71,अनियमित रुपमा वन कटान,other_agency
070-CR-0182,2071-03-16,2070/71,निर्णय वदर,nirnaya_vadar
070-CR-0188,2071-03-29,2070/71,आतङककारी कृयाकलापमा वित्तिय लगानी,money_laundering
071-CR-0010,2071-04-14,2071/72,सम्पत्ति शुद्धीकरण,money_laundering
071-CR-0017,2071-04-20,2071/72,विदेशी मुद्रा तथा उपकरणहरु अपचलन,other_agency
071-CR-0093,2071-06-22,2071/72,राज्य विरुद्धको अपराध,other_agency
071-CR-0130,2071-07-18,2071/72,निर्णय वदर,nirnaya_vadar
071-CR-0154,2071-08-01,2071/72,निर्णय वदर,nirnaya_vadar
071-CR-0214,2071-09-28,2071/72,निर्णय वदर,nirnaya_vadar
071-CR-0299,2072-02-04,2071/72,निर्णय वदर,nirnaya_vadar
071-CR-0304,2072-02-28,2071/72,निर्णय वदर,nirnaya_vadar
071-CR-0318,2072-03-25,2071/72,निर्णय वदर,nirnaya_vadar
072-CR-0002,2072-04-06,2072/73,निर्णय वदर,nirnaya_vadar
072-CR-0028,2072-05-21,2072/73,निर्णय वदर,nirnaya_vadar
072-CR-0035,2072-07-22,2072/73,राज्य विरुद्धको अपराध,other_agency
072-CR-0053,2072-10-12,2072/73,राज्य विरुद्धको अपराध,other_agency
072-CR-0054,2072-10-15,2072/73,सम्पत्ति शुद्धीकरण,money_laundering
072-CR-0073,2072-11-12,2072/73,सम्पत्ति शुद्धीकरण,money_laundering
072-CR-0081,2072-11-30,2072/73,राज्य विरुद्धको अपराध,other_agency
072-CR-0082,2072-11-30,2072/73,राज्य विरुद्धको अपराध,other_agency
072-CR-0089,2072-12-08,2072/73,निर्णय वदर,nirnaya_vadar
072-CR-0101,2072-12-30,2072/73,राज्य विरुद्धको अपराध,other_agency
072-CR-0107,2073-01-20,2072/73,सम्पत्ति शुद्धीकरण,money_laundering
072-CR-0122,2073-02-13,2072/73,सम्पत्ति शुद्धीकरण,money_laundering
