case_number,decision_type,judge_names,verdict_derived
069-CR-0001,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई",False
069-CR-0002,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई",False
069-CR-0003,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री ओम प्रकाश मिश्र
अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे",False
069-CR-0004,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री गौरी वहादुर कार्की
अध्यक्ष माननीय न्यायाधीश श्री ओम प्रकाश मिश्र
अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे",False
069-CR-0005,सफाई,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0006,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0007,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0008,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री गौरी वहादुर कार्की
अध्यक्ष माननीय न्यायाधीश श्री ओम प्रकाश मिश्र
अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे",False
069-CR-0009,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई",False
069-CR-0010,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0011,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0012,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री महेश प्रसाद पुडासैनी
अध्यक्ष माननीय न्यायाधीश श्री पवनकुमार शर्मा",False
069-CR-0013,ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
069-CR-0014,आंशिक ठहर,"अध्यक्ष माननीय न्यायाधीश श्री केदार प्रसाद चालिसे
अध्यक्ष माननीय न्यायाधीश श्री मोहनरमण भट्टराई
अध्यक्ष माननीय न्यायाधीश श्री भूपेन्द्र प्रसाद राई",False
