lane,name_en,name_ne,start_ad,start_bs,end_ad,end_bs,status
Head of Government,Baburam Bhattarai,बाबुराम भट्टराई,2011-08-29,2068-05-12,2013-03-14,2069-12-01,
Head of Government,Khil Raj Regmi,खिलराज रेग्मी,2013-03-14,2069-12-01,2014-02-11,2070-10-28,interim (Chief Justice-led)
Head of Government,Sushil Koirala,सुशील कोइराला,2014-02-11,2070-10-28,2015-10-11,2072-06-24,
Head of Government,K. P. Sharma Oli,केपी शर्मा ओली,2015-10-11,2072-06-24,2016-08-04,2073-04-20,
Head of Government,Pushpa Kamal Dahal,पुष्पकमल दाहाल,2016-08-04,2073-04-20,2017-06-07,2074-02-24,
Head of Government,Sher Bahadur Deuba,शेरबहादुर देउवा,2017-06-07,2074-02-24,2018-02-15,2074-11-03,
Head of Government,K. P. Sharma Oli,केपी शर्मा ओली,2018-02-15,2074-11-03,2021-07-13,2078-03-29,
Head of Government,Sher Bahadur Deuba,शेरबहादुर देउवा,2021-07-13,2078-03-29,2022-12-26,2079-09-11,
Head of Government,Pushpa Kamal Dahal,पुष्पकमल दाहाल,2022-12-26,2079-09-11,2024-07-15,2081-03-31,
Head of Government,K. P. Sharma Oli,केपी शर्मा ओली,2024-07-15,2081-03-31,2025-09-12,2082-05-27,
Head of Government,Sushila Karki,सुशीला कार्की,2025-09-12,2082-05-27,2026-07-16,2083-03-32,interim · incumbent
CIAA Chief Commissioner,Lokman Singh Karki,लोकमानसिंह कार्की,2013-05-08,2070-01-25,2016-10-20,2073-07-04,removed by Supreme Court
CIAA Chief Commissioner,Deep Basnyat,दीप बस्न्यात,2017-05-22,2074-02-08,2018-02-12,2074-10-29,officiating (post-Karki vacancy)
CIAA Chief Commissioner,Nabin Kumar Ghimire,नविन कुमार घिमिरे,2018-09-20,2075-06-04,2020-09-13,2077-05-28,officiating (post-Karki vacancy)
CIAA Chief Commissioner,Prem Kumar Rai,प्रेमकुमार राई,2021-02-03,2077-10-21,2026-07-16,2083-03-32,incumbent
